x_target,y_target,z_target,x_error,y_error,z_error,j1,j2,j3,j4,j5,j6
200.0,100.0,140.0,0.5,-1.2000000000000028,9.0,42.62,-26.63,-88.06,28.3,0.43,-47.46
200.0,88.23529411764706,140.0,1.0,9.56470588235294,9.0,41.13,-26.63,-88.06,28.3,0.52,-51.59
200.0,76.47058823529412,140.0,5.599999999999994,11.029411764705884,8.099999999999994,37.17,-27.33,-88.06,28.82,1.66,-55.54
200.0,64.70588235294117,140.0,11.300000000000011,9.994117647058829,7.0,33.66,-27.5,-88.06,29.26,1.84,-59.06
200.0,52.94117647058824,140.0,15.699999999999989,7.658823529411762,7.0,29.88,-27.5,-88.06,29.26,1.84,-62.66
200.0,41.17647058823529,140.0,19.19999999999999,5.32352941176471,7.0,25.92,-27.5,-88.06,29.26,1.84,-66.62
200.0,29.411764705882348,140.0,21.900000000000006,1.8882352941176528,7.0,22.23,-27.5,-88.06,29.26,1.84,-70.13
200.0,17.64705882352942,140.0,23.400000000000006,-0.6470588235294201,7.0,18.63,-27.5,-88.06,29.26,1.84,-73.74
200.0,5.882352941176478,140.0,24.099999999999994,-2.982352941176478,7.0,15.11,-27.59,-88.06,29.26,1.84,-77.34
200.0,-5.882352941176478,140.0,23.900000000000006,-4.517647058823522,6.699999999999989,11.6,-27.59,-88.06,29.26,1.84,-80.94
200.0,-17.64705882352942,140.0,22.80000000000001,-6.452941176470581,6.699999999999989,7.99,-27.59,-88.06,29.26,1.84,-84.55
200.0,-29.411764705882348,140.0,20.80000000000001,-8.688235294117653,6.699999999999989,4.39,-27.59,-88.06,29.26,1.84,-87.97
200.0,-41.176470588235304,140.0,17.599999999999994,-12.423529411764697,6.699999999999989,0.08,-27.59,-88.06,29.26,1.84,-92.1
200.0,-52.94117647058823,140.0,13.400000000000006,-15.558823529411768,6.699999999999989,-3.6,-27.59,-88.06,29.26,1.84,-95.27
200.0,-64.70588235294116,140.0,8.300000000000011,-17.994117647058843,6.699999999999989,-7.38,-27.59,-88.06,29.26,1.84,-96.5
200.0,-76.47058823529412,140.0,4.0,-16.32941176470588,6.699999999999989,-8.96,-27.59,-88.06,29.26,1.84,-96.67
200.0,-88.23529411764704,140.0,3.0,-6.764705882352956,6.699999999999989,-9.05,-27.59,-87.97,29.26,1.84,-96.76
200.0,100.0,140.0,0.4000000000000057,1.0,9.400000000000006,43.06,-26.98,-87.27,27.94,0.35,-47.28
200.0,88.23529411764706,140.0,1.8000000000000114,9.964705882352945,9.400000000000006,40.69,-27.07,-87.27,27.94,0.96,-51.85
200.0,76.47058823529412,140.0,7.199999999999989,9.42941176470589,8.800000000000011,36.47,-27.42,-87.27,28.03,1.31,-55.98
200.0,64.70588235294117,140.0,13.300000000000011,5.694117647058832,8.099999999999994,32.16,-27.5,-87.27,28.47,1.4,-60.11
200.0,52.94117647058824,140.0,18.19999999999999,0.9588235294117595,8.199999999999989,27.86,-27.5,-87.27,28.47,1.4,-64.42
200.0,41.17647058823529,140.0,21.599999999999994,-3.7764705882352914,8.199999999999989,23.46,-27.5,-87.27,28.47,1.4,-68.46
200.0,29.411764705882348,140.0,23.80000000000001,-8.811764705882347,8.199999999999989,19.24,-27.5,-87.27,28.47,1.4,-72.77
200.0,17.64705882352942,140.0,24.69999999999999,-13.24705882352942,8.199999999999989,15.11,-27.5,-87.27,28.47,1.4,-76.9
200.0,5.882352941176478,140.0,24.400000000000006,-17.882352941176478,8.199999999999989,11.25,-27.5,-87.27,28.47,1.4,-80.85
200.0,-5.882352941176478,140.0,23.19999999999999,-20.217647058823523,8.199999999999989,7.64,-27.5,-87.27,28.47,1.4,-84.46
200.0,-17.64705882352942,140.0,21.099999999999994,-22.45294117647058,8.199999999999989,4.04,-27.5,-87.27,28.47,1.4,-87.89
200.0,-29.411764705882348,140.0,17.900000000000006,-25.48823529411765,8.199999999999989,0.08,-27.5,-87.27,28.47,1.4,-91.66
200.0,-41.176470588235304,140.0,14.0,-27.323529411764696,8.199999999999989,-3.86,-27.5,-87.27,28.47,1.4,-95.0
200.0,-52.94117647058823,140.0,8.400000000000006,-31.158823529411762,8.199999999999989,-7.47,-27.5,-87.27,28.47,1.4,-96.5
200.0,-64.70588235294116,140.0,4.300000000000011,-28.894117647058835,8.199999999999989,-9.14,-27.5,-87.27,28.47,1.4,-96.59
200.0,-76.47058823529412,140.0,3.0,-19.92941176470589,8.199999999999989,-9.31,-27.5,-87.27,28.47,1.4,-96.67
200.0,-88.23529411764704,140.0,3.0,-8.164705882352962,8.199999999999989,-9.31,-27.5,-87.27,28.47,1.4,-96.85
200.0,100.0,140.0,0.30000000000001137,0.4000000000000057,10.099999999999994,43.06,-26.63,-87.09,27.07,0.0,-47.28
200.0,88.23529411764706,140.0,1.5999999999999943,9.464705882352945,9.699999999999989,40.6,-26.89,-87.09,27.07,0.96,-51.76
200.0,76.47058823529412,140.0,7.5,9.629411764705878,8.599999999999994,36.56,-27.77,-87.01,28.82,1.75,-55.89
200.0,64.70588235294117,140.0,14.0,6.094117647058823,7.900000000000006,32.16,-27.94,-87.01,29.0,1.75,-60.02
200.0,52.94117647058824,140.0,18.80000000000001,1.6588235294117624,8.0,27.86,-27.94,-87.01,29.0,1.75,-64.24
200.0,41.17647058823529,140.0,22.30000000000001,-3.17647058823529,8.0,23.55,-27.94,-87.01,29.0,1.75,-68.46
200.0,29.411764705882348,140.0,24.400000000000006,-6.8117647058823465,8.0,19.59,-27.94,-87.01,29.0,1.75,-72.42
200.0,17.64705882352942,140.0,25.400000000000006,-11.34705882352942,8.0,15.46,-27.94,-87.01,29.0,1.75,-76.46
200.0,5.882352941176478,140.0,25.19999999999999,-16.382352941176478,8.0,11.16,-27.94,-87.01,29.0,1.75,-80.94
200.0,-5.882352941176478,140.0,23.900000000000006,-21.217647058823523,8.0,6.94,-27.94,-87.01,29.0,1.75,-84.99
200.0,-17.64705882352942,140.0,21.30000000000001,-25.85294117647058,8.0,2.72,-27.94,-87.01,29.0,1.75,-88.94
200.0,-29.411764705882348,140.0,17.5,-30.188235294117653,8.0,-1.58,-27.94,-87.01,29.0,1.75,-93.07
200.0,-41.176470588235304,140.0,12.400000000000006,-34.62352941176469,8.0,-5.71,-27.94,-87.01,29.0,1.75,-96.32
200.0,-52.94117647058823,140.0,6.900000000000006,-36.65882352941176,8.0,-8.61,-27.94,-87.01,29.0,1.75,-96.5
200.0,-64.70588235294116,140.0,4.199999999999989,-30.894117647058835,8.0,-9.14,-27.94,-87.01,29.0,1.75,-96.67
200.0,-76.47058823529412,140.0,4.199999999999989,-19.12941176470588,8.0,-9.14,-27.94,-87.01,29.0,1.75,-96.76
200.0,-88.23529411764704,140.0,4.199999999999989,-7.3647058823529505,8.0,-9.14,-27.94,-87.01,29.0,1.75,-96.85
200.0,100.0,140.0,1.5,-0.7000000000000028,10.199999999999989,42.62,-26.89,-86.92,27.5,0.0,-47.28
200.0,88.23529411764706,140.0,1.5999999999999943,11.06470588235294,10.199999999999989,41.74,-26.89,-86.92,27.5,-0.08,-50.53
200.0,76.47058823529412,140.0,5.099999999999994,14.92941176470589,9.199999999999989,38.49,-27.42,-86.92,27.77,1.31,-54.31
200.0,64.70588235294117,140.0,10.699999999999989,14.39411764705882,9.0,34.89,-27.5,-86.92,28.3,1.4,-57.91
200.0,52.94117647058824,140.0,15.5,12.158823529411755,9.0,31.02,-27.5,-86.92,28.3,1.4,-61.61
200.0,41.17647058823529,140.0,19.30000000000001,9.523529411764713,9.0,27.33,-27.5,-86.92,28.38,1.4,-65.21
200.0,29.411764705882348,140.0,22.0,7.388235294117649,9.0,23.64,-27.5,-86.92,28.3,1.4,-68.73
200.0,17.64705882352942,140.0,24.0,4.85294117647058,9.0,20.03,-27.5,-86.92,28.3,1.4,-72.42
200.0,5.882352941176478,140.0,24.900000000000006,2.817647058823521,9.0,16.52,-27.5,-86.92,28.3,1.49,-76.02
200.0,-5.882352941176478,140.0,25.0,0.8823529411764781,9.0,12.91,-27.5,-86.92,28.3,1.49,-79.62
200.0,-17.64705882352942,140.0,24.30000000000001,-1.4529411764705813,9.0,9.05,-27.5,-86.92,28.38,1.49,-83.67
200.0,-29.411764705882348,140.0,22.19999999999999,-6.488235294117651,9.099999999999994,4.74,-27.5,-86.92,28.38,1.49,-87.62
200.0,-41.176470588235304,140.0,19.19999999999999,-9.923529411764697,9.0,1.14,-27.5,-86.92,28.38,1.49,-91.23
200.0,-52.94117647058823,140.0,15.199999999999989,-13.158823529411762,9.099999999999994,-2.9,-27.5,-86.92,28.38,1.49,-94.74
200.0,-64.70588235294116,140.0,10.5,-15.194117647058846,9.099999999999994,-6.41,-27.5,-86.92,28.38,1.49,-96.5
200.0,-76.47058823529412,140.0,6.0,-14.229411764705887,9.099999999999994,-8.61,-27.5,-86.92,28.38,1.49,-96.5
200.0,-88.23529411764704,140.0,3.8000000000000114,-7.164705882352962,9.0,-8.96,-27.5,-86.92,28.38,1.49,-96.67
200.0,100.0,140.0,0.4000000000000057,1.7000000000000028,9.900000000000006,43.24,-26.98,-87.27,28.3,0.26,-47.28
200.0,88.23529411764706,140.0,1.5999999999999943,11.06470588235294,9.900000000000006,41.13,-27.07,-87.27,28.3,0.96,-50.97
200.0,76.47058823529412,140.0,6.099999999999994,12.629411764705878,8.900000000000006,37.52,-27.5,-87.27,28.3,1.58,-54.22
200.0,64.70588235294117,140.0,11.400000000000006,11.194117647058832,7.699999999999989,33.57,-27.59,-87.27,28.74,1.84,-58.18
200.0,52.94117647058824,140.0,16.5,7.658823529411762,8.199999999999989,29.79,-27.59,-87.27,28.74,1.84,-61.78
200.0,41.17647058823529,140.0,20.0,5.4235294117647115,8.199999999999989,25.75,-27.59,-87.27,28.74,1.84,-65.74
200.0,29.411764705882348,140.0,22.900000000000006,0.1882352941176535,8.199999999999989,21.79,-27.59,-87.27,28.74,1.84,-69.6
200.0,17.64705882352942,140.0,24.30000000000001,-2.14705882352942,8.199999999999989,18.19,-27.59,-87.27,28.74,1.84,-73.21
200.0,5.882352941176478,140.0,24.80000000000001,-4.182352941176478,8.199999999999989,14.67,-27.59,-87.27,28.74,1.84,-76.64
200.0,-5.882352941176478,140.0,24.5,-6.417647058823523,8.199999999999989,11.07,-27.59,-87.27,28.74,1.84,-80.24
200.0,-17.64705882352942,140.0,23.30000000000001,-8.452941176470581,8.199999999999989,7.11,-27.59,-87.27,28.74,1.84,-84.28
200.0,-29.411764705882348,140.0,20.900000000000006,-12.288235294117655,8.199999999999989,3.42,-27.59,-87.27,28.74,1.93,-87.71
200.0,-41.176470588235304,140.0,17.900000000000006,-14.323529411764696,8.199999999999989,-0.17,-27.59,-87.27,28.74,1.93,-91.14
200.0,-52.94117647058823,140.0,13.5,-17.458823529411774,8.199999999999989,-4.13,-27.59,-87.27,28.74,1.93,-94.48
200.0,-64.70588235294116,140.0,8.699999999999989,-18.994117647058843,8.199999999999989,-7.47,-27.59,-87.27,28.74,1.93,-96.41
200.0,-76.47058823529412,140.0,4.300000000000011,-17.32941176470588,8.199999999999989,-9.58,-27.59,-87.27,28.74,1.93,-96.5
200.0,-88.23529411764704,140.0,2.5,-9.36470588235295,8.199999999999989,-9.66,-27.59,-87.27,28.74,1.84,-96.59
200.0,100.0,140.0,0.8000000000000114,0.9000000000000057,9.800000000000011,43.06,-26.98,-87.09,27.86,0.0,-47.28
200.0,88.23529411764706,140.0,2.0999999999999943,9.864705882352936,9.800000000000011,40.69,-26.98,-87.09,27.86,0.96,-51.76
200.0,76.47058823529412,140.0,7.5,8.92941176470589,9.800000000000011,36.38,-26.98,-87.09,27.86,1.31,-55.81
200.0,64.70588235294117,140.0,13.300000000000011,4.794117647058826,9.800000000000011,31.99,-27.07,-87.09,27.86,1.31,-59.94
200.0,52.94117647058824,140.0,18.099999999999994,0.058823529411760944,9.5,27.68,-27.07,-87.09,27.86,1.31,-64.16
200.0,41.17647058823529,140.0,21.400000000000006,-4.67647058823529,9.5,23.37,-27.07,-87.09,27.86,1.31,-68.37
200.0,29.411764705882348,140.0,23.5,-9.01176470588235,9.5,19.24,-27.07,-87.09,27.86,1.31,-72.59
200.0,17.64705882352942,140.0,24.400000000000006,-13.74705882352942,9.5,15.02,-27.07,-87.09,27.86,1.31,-76.72
200.0,5.882352941176478,140.0,24.099999999999994,-18.382352941176478,9.5,10.89,-27.24,-87.09,27.86,1.31,-81.03
200.0,-5.882352941176478,140.0,22.900000000000006,-22.51764705882352,7.400000000000006,6.76,-27.94,-87.01,28.82,1.58,-85.16
200.0,-17.64705882352942,140.0,21.30000000000001,-26.652941176470577,7.900000000000006,2.46,-28.03,-87.01,29.17,1.58,-88.76
200.0,-29.411764705882348,140.0,17.30000000000001,-31.38823529411765,7.900000000000006,-1.75,-28.03,-87.01,29.17,1.58,-93.16
200.0,-41.176470588235304,140.0,12.099999999999994,-35.7235294117647,7.900000000000006,-5.97,-28.03,-87.01,29.17,1.58,-96.24
200.0,-52.94117647058823,140.0,6.800000000000011,-37.458823529411774,7.900000000000006,-8.78,-28.03,-87.01,29.17,1.58,-96.41
200.0,-64.70588235294116,140.0,4.199999999999989,-31.394117647058835,7.900000000000006,-9.22,-28.03,-87.01,29.17,1.58,-96.5
200.0,-76.47058823529412,140.0,4.0,-19.92941176470589,7.900000000000006,-9.31,-28.03,-87.01,29.17,1.58,-96.67
200.0,-88.23529411764704,140.0,4.0,-8.164705882352962,7.900000000000006,-9.31,-28.03,-87.01,29.17,1.58,-96.85
200.0,100.0,140.0,1.8000000000000114,-0.29999999999999716,9.199999999999989,42.53,-27.33,-87.01,28.21,0.17,-47.28
200.0,88.23529411764706,140.0,2.0999999999999943,10.864705882352936,9.199999999999989,41.39,-27.33,-87.01,28.21,0.26,-50.88
200.0,76.47058823529412,140.0,5.699999999999989,14.229411764705887,9.199999999999989,38.14,-27.42,-87.01,28.21,1.58,-54.4
200.0,64.70588235294117,140.0,10.900000000000006,13.494117647058829,8.400000000000006,34.45,-27.59,-87.01,28.38,1.58,-58.09
200.0,52.94117647058824,140.0,15.800000000000011,11.358823529411758,8.400000000000006,30.76,-27.68,-87.01,28.56,1.58,-61.69
200.0,41.17647058823529,140.0,19.5,9.023529411764713,8.400000000000006,27.07,-27.68,-87.01,28.56,1.58,-65.3
200.0,29.411764705882348,140.0,22.30000000000001,6.588235294117652,8.400000000000006,23.37,-27.68,-87.01,28.56,1.58,-68.9
200.0,17.64705882352942,140.0,24.099999999999994,3.9529411764705813,8.400000000000006,19.77,-27.68,-87.01,28.56,1.58,-72.59
200.0,5.882352941176478,140.0,25.0,1.9176470588235217,8.400000000000006,16.25,-27.68,-87.01,28.56,1.58,-76.11
200.0,-5.882352941176478,140.0,25.099999999999994,-0.017647058823522244,8.400000000000006,12.74,-27.68,-87.01,28.56,1.58,-79.8
200.0,-17.64705882352942,140.0,24.30000000000001,-2.35294117647058,8.400000000000006,9.14,-27.68,-87.01,28.56,1.58,-83.32
200.0,-29.411764705882348,140.0,22.599999999999994,-4.388235294117649,8.400000000000006,5.53,-27.68,-87.01,28.56,1.58,-86.92
200.0,-41.176470588235304,140.0,20.0,-6.523529411764699,8.400000000000006,1.93,-27.68,-87.01,28.56,1.58,-90.17
200.0,-52.94117647058823,140.0,16.5,-8.858823529411765,8.400000000000006,-1.75,-27.68,-87.01,28.56,1.58,-93.6
200.0,-64.70588235294116,140.0,12.199999999999989,-10.494117647058843,8.400000000000006,-5.36,-27.68,-87.01,28.56,1.58,-96.32
200.0,-76.47058823529412,140.0,7.300000000000011,-11.329411764705881,8.400000000000006,-8.17,-27.68,-87.01,28.56,1.58,-96.5
200.0,-88.23529411764704,140.0,3.9000000000000057,-7.164705882352962,8.400000000000006,-9.22,-27.68,-87.01,28.56,1.58,-96.67
200.0,100.0,140.0,-0.4000000000000057,0.29999999999999716,10.800000000000011,43.15,-26.19,-87.09,26.36,0.0,-47.37
200.0,88.23529411764706,140.0,1.0999999999999943,9.464705882352945,9.699999999999989,40.69,-26.98,-87.09,28.03,1.23,-51.59
200.0,76.47058823529412,140.0,7.599999999999994,9.92941176470589,9.400000000000006,36.56,-27.33,-87.09,28.47,1.4,-55.72
200.0,64.70588235294117,140.0,13.699999999999989,5.494117647058829,9.400000000000006,32.16,-27.33,-87.09,28.47,1.4,-59.94
200.0,52.94117647058824,140.0,18.5,0.3588235294117581,9.400000000000006,27.68,-27.33,-87.09,28.47,1.4,-64.24
200.0,41.17647058823529,140.0,22.0,-4.376470588235293,9.599999999999994,23.29,-27.33,-87.01,28.47,1.4,-68.46
200.0,29.411764705882348,140.0,24.099999999999994,-9.01176470588235,9.599999999999994,19.16,-27.33,-87.01,28.47,1.4,-72.68
200.0,17.64705882352942,140.0,25.0,-13.84705882352942,9.599999999999994,14.94,-27.33,-87.01,28.47,1.4,-76.72
200.0,5.882352941176478,140.0,24.69999999999999,-18.48235294117648,9.599999999999994,10.72,-27.33,-87.01,28.47,1.4,-81.03
200.0,-5.882352941176478,140.0,23.19999999999999,-22.917647058823523,9.599999999999994,6.59,-27.33,-87.01,28.47,1.4,-85.16
200.0,-17.64705882352942,140.0,20.5,-27.45294117647058,9.599999999999994,2.28,-27.33,-87.01,28.47,1.4,-88.85
200.0,-29.411764705882348,140.0,16.400000000000006,-32.18823529411765,9.599999999999994,-1.93,-27.33,-87.01,28.47,1.4,-93.16
200.0,-41.176470588235304,140.0,11.300000000000011,-36.12352941176469,9.599999999999994,-6.06,-27.33,-87.01,28.47,1.4,-96.32
200.0,-52.94117647058823,140.0,5.800000000000011,-38.15882352941176,9.599999999999994,-8.96,-27.33,-87.01,28.47,1.4,-96.5
200.0,-64.70588235294116,140.0,3.1999999999999886,-31.994117647058843,9.599999999999994,-9.31,-27.33,-87.01,28.47,1.4,-96.59
200.0,-76.47058823529412,140.0,3.4000000000000057,-19.82941176470588,9.599999999999994,-9.22,-27.33,-87.01,28.47,1.14,-96.76
200.0,-88.23529411764704,140.0,3.5,-8.064705882352953,8.599999999999994,-9.22,-27.77,-86.92,28.47,1.14,-97.03
200.0,100.0,140.0,0.6999999999999886,0.4000000000000057,10.800000000000011,42.97,-26.63,-87.01,27.42,0.08,-47.28
200.0,88.23529411764706,140.0,1.4000000000000057,10.664705882352948,10.800000000000011,41.3,-26.89,-87.01,27.42,0.79,-51.06
200.0,76.47058823529412,140.0,5.699999999999989,13.829411764705881,9.0,38.05,-27.68,-87.01,29.0,1.84,-54.31
200.0,64.70588235294117,140.0,11.800000000000011,12.794117647058826,8.5,33.75,-27.94,-87.01,29.09,1.84,-58.53
200.0,52.94117647058824,140.0,16.80000000000001,9.058823529411761,8.099999999999994,29.97,-27.94,-87.01,29.09,1.84,-62.13
200.0,41.17647058823529,140.0,20.400000000000006,6.723529411764709,8.099999999999994,26.36,-27.94,-87.01,29.17,1.84,-65.74
200.0,29.411764705882348,140.0,23.099999999999994,4.288235294117655,8.199999999999989,22.67,-27.94,-87.01,29.17,1.84,-69.25
200.0,17.64705882352942,140.0,24.80000000000001,1.5529411764705792,8.199999999999989,19.07,-27.94,-87.01,29.17,1.84,-72.94
200.0,5.882352941176478,140.0,25.599999999999994,-2.182352941176478,8.199999999999989,15.11,-27.94,-87.01,29.17,1.84,-76.81
200.0,-5.882352941176478,140.0,25.30000000000001,-4.517647058823522,8.199999999999989,11.51,-27.94,-87.01,29.17,1.84,-80.5
200.0,-17.64705882352942,140.0,24.30000000000001,-6.552941176470579,8.199999999999989,7.99,-27.94,-87.01,29.17,1.84,-84.02
200.0,-29.411764705882348,140.0,22.30000000000001,-9.188235294117653,8.199999999999989,4.3,-27.94,-87.01,29.17,1.84,-87.62
200.0,-41.176470588235304,140.0,19.400000000000006,-11.323529411764696,8.199999999999989,0.61,-27.94,-87.01,29.17,1.84,-91.05
200.0,-52.94117647058823,140.0,15.099999999999994,-14.858823529411765,8.199999999999989,-3.69,-27.94,-87.01,29.17,1.84,-94.65
200.0,-64.70588235294116,140.0,9.900000000000006,-17.79411764705884,8.199999999999989,-7.11,-27.94,-87.01,29.17,1.84,-96.41
200.0,-76.47058823529412,140.0,5.300000000000011,-16.92941176470589,8.199999999999989,-9.22,-27.94,-87.01,29.17,1.84,-96.5
200.0,-88.23529411764704,140.0,4.0,-7.8647058823529505,8.300000000000011,-9.31,-27.94,-87.01,29.17,1.93,-96.59
200.0,100.0,140.0,1.4000000000000057,1.7000000000000028,4.5,43.15,-28.65,-86.3,26.89,-0.96,-49.48
200.0,88.23529411764706,140.0,3.3000000000000114,9.764705882352942,4.5,40.34,-28.65,-86.3,26.89,0.35,-54.14
200.0,76.47058823529412,140.0,8.199999999999989,9.029411764705884,4.300000000000011,36.21,-28.65,-86.92,27.15,2.9,-58.27
200.0,64.70588235294117,140.0,12.800000000000011,6.094117647058823,3.1999999999999886,32.34,-28.65,-87.36,27.94,3.07,-62.22
200.0,52.94117647058824,140.0,17.0,3.358823529411758,3.0,28.21,-28.65,-87.36,27.94,3.07,-66.35
200.0,41.17647058823529,140.0,20.599999999999994,-1.3764705882352928,3.0,23.9,-28.65,-87.36,27.94,3.07,-70.57
